,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,106,0,https://pic3.zhimg.com/v2-b77b3818c8bf322bcf3ebf57d660262f_is.jpg,https://pic3.zhimg.com/v2-b77b3818c8bf322bcf3ebf57d660262f_{size}.jpg,[],2796,0,实习配音演员，萌新coser，p图怪，大三，没什么干货，慎重关注,0e7e614e35f350f91d8c7494dc056adf,False,False,False,False,小西瓜,people,http://www.zhihu.com/api/v4/people/0e7e614e35f350f91d8c7494dc056adf,xiao-xi-gua-66-84,people
1,21,0,https://pic1.zhimg.com/v2-5ff70c2d41e3516bad9cf2a1dc61ceae_is.jpg,https://pic1.zhimg.com/v2-5ff70c2d41e3516bad9cf2a1dc61ceae_{size}.jpg,[],5134,0,想要一条听话且粘人的狗（收费Sade无性）,237fd5c9d1bffc7274ba43a8adf7c5b4,False,False,False,False,我和我的各自天涯,people,http://www.zhihu.com/api/v4/people/237fd5c9d1bffc7274ba43a8adf7c5b4,crush-39-3,people
2,9,0,https://pic4.zhimg.com/v2-4a113f364ff866db1eb0bdad37adc87b_is.jpg,https://pic4.zhimg.com/v2-4a113f364ff866db1eb0bdad37adc87b_{size}.jpg,[],206,0,,cb9412fd6ee3eb7d2b1be1a54f8dc65f,False,False,False,False,xqq,people,http://www.zhihu.com/api/v4/people/cb9412fd6ee3eb7d2b1be1a54f8dc65f,xqq-42-16,people
3,31,0,https://pic1.zhimg.com/v2-8d4afae790857f8e6bf6efb9ea2959af_is.jpg,https://pic1.zhimg.com/v2-8d4afae790857f8e6bf6efb9ea2959af_{size}.jpg,[],1609,0,喜欢玩游戏，撸猫；单身,0468f0d139804cf268c20a94b5906a53,False,False,False,False,深情留不住,people,http://www.zhihu.com/api/v4/people/0468f0d139804cf268c20a94b5906a53,shen-qing-liu-bu-zhu-57,people
4,7,0,https://pic3.zhimg.com/v2-c661d1d52c67bd5f55b458f9a72e5016_is.jpg,https://pic3.zhimg.com/v2-c661d1d52c67bd5f55b458f9a72e5016_{size}.jpg,[],784,0,被赞怕了的知乎萌新,be943ffc82b97466ae782df7be9ad315,False,False,False,False,夏井洋子,people,http://www.zhihu.com/api/v4/people/be943ffc82b97466ae782df7be9ad315,xia-jing-xiao-jie-41,people
5,3,19,https://pic3.zhimg.com/v2-68e51259238be39eca185a752e1d1fe6_is.jpg,https://pic3.zhimg.com/v2-68e51259238be39eca185a752e1d1fe6_{size}.jpg,"[{'type': 'identity', 'description': '知乎 官方帐号'}]",18750,-1,能文能武，懂一点产品，懂一点技术，非常了解知乎产品功能。,6cf6ae9b2df81a98bbb44c2515b66c06,False,False,False,False,知一声,people,http://www.zhihu.com/api/v4/people/6cf6ae9b2df81a98bbb44c2515b66c06,verycool,people
6,138,10,https://pic1.zhimg.com/v2-94343a07cccbc101fe2ff36119c7ae61_is.jpg,https://pic1.zhimg.com/v2-94343a07cccbc101fe2ff36119c7ae61_{size}.jpg,[],1287,1,"你贪的是利息,别人要你本金！关注公众号“金融泄密局”了解更多！",61318b976a641f8a71987bfd58087b75,False,False,False,False,金融泄密局,people,http://www.zhihu.com/api/v4/people/61318b976a641f8a71987bfd58087b75,jrxmj,people
7,1,0,https://pic3.zhimg.com/v2-52973b7bfa56e11d26391b501742b15d_is.jpg,https://pic3.zhimg.com/v2-52973b7bfa56e11d26391b501742b15d_{size}.jpg,[],122,0,,ee3fe86a71708356eb3634d11ec4bd3d,False,False,False,False,艳物,people,http://www.zhihu.com/api/v4/people/ee3fe86a71708356eb3634d11ec4bd3d,yan-wu-96-71-77,people
8,1,0,https://pic3.zhimg.com/v2-357faeefe2feb8c9a05648b790c700e1_is.jpg,https://pic3.zhimg.com/v2-357faeefe2feb8c9a05648b790c700e1_{size}.jpg,[],516,0,,ce5a3ac3e81e5f663645ddae7a909110,False,False,False,False,施冰儿,people,http://www.zhihu.com/api/v4/people/ce5a3ac3e81e5f663645ddae7a909110,shi-bing-er-21,people
9,2,0,https://pic2.zhimg.com/v2-bc6ba027848aed1b77c1ee097dc3d243_is.jpg,https://pic2.zhimg.com/v2-bc6ba027848aed1b77c1ee097dc3d243_{size}.jpg,[],465,0,医院里的一条咸鱼,3da7c56976dcc3ddede108090b0565dd,False,False,False,False,Skye元,people,http://www.zhihu.com/api/v4/people/3da7c56976dcc3ddede108090b0565dd,skye-66-16,people
